,restaurant.name,restaurant.cuisines,restaurant.average_cost_for_two,restaurant.user_rating.aggregate_rating,restaurant.timings,restaurant.all_reviews_count,restaurant.user_rating.votes,restaurant.location.latitude,restaurant.location.longitude,coordinate,Arts_Entertainment,College_University,Event,Nightlife_Spot,Outdoors_Recreation,Professional_n_Other_Places,Shop_Service,Travel_Transport,Residence
101,Sushi Cafe,"Japanese, Sushi",25,4.9,"11 AM to 2:30 PM, 5 PM to 9:30 PM (Mon-Fri),5 PM to 9:30 PM (Sat),Closed (Sun)",45,139.0,32.355817,-86.264911,"(32.355817, -86.264911)",0,0,0,1,1,1,2,0,0
102,Lek's Railroad Thai,"Asian, Sushi, Thai",25,4.5,"11 AM to 9 PM (Mon-Thu),11 AM to 10 PM (Fri-Sat),Closed (Sun)",51,230.0,32.3805,-86.314,"(32.3805, -86.314)",10,2,0,7,2,4,0,4,1
103,Wishbone Cafe,"Sandwich, Seafood, Cajun",25,4.5,"(Sun),Lunch, Dinner (Mon-Sat)",59,150.0,32.382271,-86.171836,"(32.382271, -86.171836)",0,0,0,0,0,0,1,0,0
104,Dreamland BBQ Montgomery,"BBQ, Burger, Sandwich",25,4.4,"10 AM to 9 PM (Mon-Thu), 10 AM to 10 PM (Fri-Sat), 11 AM to 9 PM (Sun)",59,198.0,32.38086,-86.31083,"(32.38086, -86.31083)",11,2,0,7,1,4,0,4,1
105,Tomatinos Pizza & Bake Shop,"Pizza, Vegetarian",25,4.4,"Dinner (Sun),Lunch, Dinner (Mon-Sat)",56,227.0,32.3519,-86.2915,"(32.3519, -86.2915)",4,7,0,5,0,0,0,0,0
106,Baumhower's Restaurant,"American, Burger, Steak",25,4.1,"11 AM to 10 PM (Mon, Tue, Wed, Thu, Sun), 11 AM to 11 PM (Fri-Sat)",48,204.0,32.348699,-86.220864,"(32.348699, -86.220864)",2,0,1,3,0,0,2,1,5
107,Uncle Mick's Cajun Market & Cafe,"Seafood, Vegetarian, Cajun",25,4.7,"11 AM to 2 PM (Mon),11 AM to 2 PM, 5 PM to 7:30 PM (Tue-Thu),11 AM to 2 PM, 5 PM to 8:30 PM (Fri-Sat),Closed (Sun)",78,188.0,32.460004579,-86.4740990982,"(32.460004579, -86.4740990982)",0,0,0,0,4,0,0,0,0
108,Chris' Hot Dogs,Burger,10,4.4,"10 AM to 7 PM (Mon-Thu, Sat), 10 AM to 8 PM (Fri), Sun Closed",45,199.0,32.377231,-86.306747,"(32.377231, -86.306747)",16,3,0,7,1,7,0,4,1
109,India Palace,"Indian, Vegetarian",25,4.5,"Closed (Mon),11 AM to 2:30 PM, 5 PM to 9:30 PM (Tue-Sun)",67,157.0,32.3423353,-86.2210988,"(32.3423353, -86.2210988)",1,0,0,3,1,0,2,1,1
110,Mr. Gus' Ristorante,"Greek, Italian",25,4.2,"12 Midnight to 2 AM (Mon), 11 AM to 12 Midnight (Tue), 11 AM to 9 AM (Wed-Sat), 10:30 AM to 9 AM (Sun)",46,158.0,32.38207,-86.190673,"(32.38207, -86.190673)",0,0,0,1,0,0,0,0,0
111,Bonefish Grill,"American, Seafood",40,4.1,"11 AM to 10 PM (Mon-Thu), 11 AM to 11 PM (Fri-Sat), 10 AM to 9 PM (Sun)",38,177.0,32.34221,-86.18442,"(32.34221, -86.18442)",1,0,0,0,0,0,2,0,1
112,Wintzell's Oyster House,"Sandwich, Seafood, Cajun",40,3.7,"11 AM to 10 PM (Mon-Thu, Sun), 11 AM to 11 PM (Fri-Sat)",61,157.0,32.37893,-86.31082,"(32.37893, -86.31082)",13,3,0,7,1,4,0,4,1
113,Central Restaurant,Seafood,40,4.1,"11 AM to 2 PM, 5:30 PM to 10 PM (Mon-Thu), 11 AM to 2 PM, 5:30 PM to 11 PM (Fri), 5:30 PM to 11 PM (Sat), Sun Closed",58,138.0,32.37995,-86.31005,"(32.37995, -86.31005)",15,3,0,7,1,4,0,4,1
114,La Zona Rosa,"Latin American, Mexican, Tex-Mex",10,4.3,"(Sun),Lunch, Dinner (Mon-Sat)",38,145.0,32.3597,-86.2651,"(32.3597, -86.2651)",0,0,0,1,1,1,2,0,0
115,El Rey Burrito Lounge,"Mexican, Southwestern",25,4.2,"(Sun),Dinner (Mon-Sat)",37,154.0,32.3521,-86.2915,"(32.3521, -86.2915)",4,7,0,5,0,1,1,0,0
116,D' Road Cafe,"American, Latin American",25,4.2,"8 AM to 2 PM (Mon),8 AM to 2 PM, 5:30 PM to 9 PM (Tue-Fri),Closed (Sat-Sun)",49,107.0,32.376969,-86.309963,"(32.376969, -86.309963)",16,3,0,7,1,4,0,4,1
117,Green Papaya Lao-Thai Cuisine,"Thai, Vietnamese, Laotian",25,4.6,"11 AM to 2 PM, 5 PM to 8 PM (Mon-Sat),Closed (Sun)",35,138.0,32.391043,-86.257624,"(32.391043, -86.257624)",0,0,0,0,0,0,0,0,0
118,Street Cafe,"Japanese, Teriyaki",40,4.2,"Lunch, Dinner (Sun, Tue, Wed, Thu, Fri, Sat),  (Mon)",33,153.0,32.344579,-86.222824,"(32.344579, -86.222824)",1,0,0,3,1,0,2,1,3
119,Filet and Vine,"Diner, Southern",10,4.6,"(Sun),Lunch (Mon-Fri),Breakfast, Lunch (Sat)",35,132.0,32.358358,-86.299481,"(32.358358, -86.299481)",2,4,0,1,0,1,1,0,0
120,Jim N Nick's Bar-B-Q,"BBQ, Southern",25,4.1,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",32,129.0,32.3826,-86.1872,"(32.3826, -86.1872)",0,0,0,0,0,0,0,0,0
121,Kabuki,Japanese,25,4.1,"11 AM to 2:30 PM, 4:30 PM to 10 PM (Mon-Thu),11 AM to 2:30 PM, 4:30 PM to 11 PM (Fri),12 Noon to 11 PM (Sat),11:30 AM to 10 PM (Sun)",32,121.0,32.338479,-86.181252,"(32.338479, -86.181252)",1,0,0,0,0,0,2,0,2
122,Midtown Pizza Kitchen,"American, Italian, Pizza",25,4.3,"11 AM to 9 PM (Mon-Sat), 4 PM to 9 PM (Sun)",36,112.0,32.36405,-86.27041,"(32.36405, -86.27041)",0,0,0,1,0,0,0,0,0
123,Hamburger King,Burger,10,4.3,"(Sun, Sat), Breakfast, Lunch (Mon-Fri)",27,104.0,32.371133,-86.302022,"(32.371133, -86.302022)",9,4,0,1,1,6,0,0,0
124,Chappys Deli,"Deli, Burger, Sandwich",15,4.3,"6 AM to 9 PM (Mon-Sat),Closed (Sun)",21,135.0,32.3549,-86.2436,"(32.3549, -86.2436)",0,1,0,0,2,0,1,2,1
125,Five Guys Burgers and Fries,Fast Food,10,4.2,11 AM to 10 PM (Mon-Sun),20,139.0,32.360443,-86.165106,"(32.360443, -86.165106)",0,0,0,3,1,1,4,2,0
126,Jubilee Seafood,Seafood,40,4.0,"5 PM to 10 PM (Tue-Sat), Mon & Sun Closed",29,114.0,32.35135,-86.29077,"(32.35135, -86.29077)",4,7,0,4,1,0,0,0,0
127,Jim & Nick's BBQ of Prattville,"BBQ, Southern",25,3.9,"10:30 AM to 9 PM (Mon, Tue, Wed, Thu, Sun), 10:30 AM to 10:30 PM (Fri-Sat)",28,103.0,32.4596,-86.4056,"(32.4596, -86.4056)",1,0,0,2,0,2,5,3,0
128,Martin's Restaurant,"American, Southern",10,4.1,"Lunch (Sun),Lunch, Dinner (Mon-Fri), (Sat)",27,101.0,32.3585,-86.2839,"(32.3585, -86.2839)",4,8,0,3,1,1,1,0,0
129,La Jolla,"American, Southern, Steak",70,4.0,"4 PM to 10 PM (Mon-Sat),Closed (Sun)",28,99.0,32.3387512,-86.1723753,"(32.3387512, -86.1723753)",1,0,0,0,0,3,2,0,3
130,Mrs B's Home Cooking,Southern,10,4.1,"Lunch (Sun),Breakfast, Lunch (Mon-Fri), (Sat)",32,74.0,32.3764,-86.3331,"(32.3764, -86.3331)",0,0,0,0,0,0,0,1,0
131,Firebirds Wood Fired Grill,"Seafood, Steak, Bar Food",40,3.9,"11 AM to 10 PM (Mon-Thu, Sun), 11 AM to 11 PM (Fri-Sat)",38,83.0,32.3592153804,-86.167352054,"(32.3592153804, -86.167352054)",0,0,0,3,1,1,4,2,0
132,First Watch,"American, Coffee and Tea, Sandwich",25,4.2,7 AM to 2:30 PM (Mon-Sun),25,86.0,32.3573565,-86.2649955,"(32.3573565, -86.2649955)",0,0,0,1,1,1,2,0,0
133,Tipping Point,"Bar Food, Sandwich, Vegetarian",10,4.2,"(Sun, Mon), Lunch, Dinner (Tue-Sat)",26,83.0,32.265915,-86.2260131,"(32.265915, -86.2260131)",0,0,0,0,0,0,0,0,0
134,Tokyo Japanese Steak House,"Japanese, Sushi",10,4.4,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",22,91.0,32.4754941,-86.4288534,"(32.4754941, -86.4288534)",0,0,0,0,0,0,0,0,0
135,Shashy's Bakery and Fine Foods,"Desserts, Bakery, American",15,4.3,"7 AM to 5 PM (Mon-Fri),7:30 AM to 2 PM (Sat),Closed (Sun)",18,86.0,32.362527,-86.283155,"(32.362527, -86.283155)",2,2,0,0,1,1,1,0,0
136,Miyako Japanese Steak & Sushi,"Japanese, Steak",40,3.9,"Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",22,87.0,32.3389,-86.171,"(32.3389, -86.171)",1,0,0,0,0,3,1,0,3
137,Satsuki,"Japanese, Korean, Sushi",25,4.1,"Lunch, Dinner (Sun, Tue, Wed, Thu, Fri, Sat),  (Mon)",23,82.0,32.382161,-86.183303,"(32.382161, -86.183303)",0,0,0,0,0,0,0,0,0
138,City Grill,"American, Seafood, Steak",70,4.1,"(Sun, Mon), Dinner (Tue-Sat)",17,72.0,32.319198,-86.179075,"(32.319198, -86.179075)",0,0,0,1,0,0,0,0,1
139,Baumhower's RSA,"American, Burger, Southern",25,4.0,"7 AM to 2 PM (Mon-Fri),Closed (Sat-Sun)",22,72.0,32.375305,-86.299491,"(32.375305, -86.299491)",9,1,0,1,1,6,0,1,1
140,Mings Garden Chinese Restaurant,Chinese,25,4.2,,23,75.0,32.3558,-86.2172,"(32.3558, -86.2172)",1,0,1,2,0,1,0,3,4
141,Corsinos Italian,"Italian, Pizza",25,4.1,"(Sun, Sat), Lunch, Dinner (Mon-Fri)",22,77.0,32.3642,-86.3085,"(32.3642, -86.3085)",0,0,0,0,1,0,0,0,0
142,Capitol Oyster Bar,"Seafood, American",40,4.0,"11 AM to 8 PM (Wed-Thu), 11 AM to 9 PM (Fri), 12 Noon to 9 PM (Sat), 12 Noon to 8 PM (Sun), Mon & Tue Closed",21,71.0,32.3921991,-86.3158585,"(32.3921991, -86.3158585)",0,0,0,1,0,0,0,0,0
143,Asia Bistro & Seafood,"Asian, Chinese, Thai",10,4.0,"Closed (Mon),11 AM to 9 PM (Tue, Wed, Thu, Sun), 11 AM to 10 PM (Fri-Sat)",16,63.0,32.3388,-86.181,"(32.3388, -86.181)",1,0,0,0,0,0,2,0,2
144,Hibachi Sushi Supreme Buffet,"Asian, Chinese",10,3.8,"Lunch, Dinner, Late (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",27,58.0,32.378741,-86.209147,"(32.378741, -86.209147)",0,1,0,1,1,2,1,1,0
145,Island Delight Caribbean Restaurant,Caribbean,10,4.3,"(Sun, Sat), Lunch (Mon-Fri)",22,67.0,32.3683,-86.3489,"(32.3683, -86.3489)",0,0,0,0,0,0,2,0,0
146,Mexico Tipico Mexican,Mexican,10,4.0,"11 AM to 10 PM (Mon-Thu),11 AM to 10:30 PM (Fri-Sat),11 AM to 9:30 PM (Sun)",17,72.0,32.4604,-86.4196,"(32.4604, -86.4196)",0,0,0,2,1,0,2,0,0
147,Jason's Deli,"Breakfast, Sandwich",10,3.9,"Breakfast, Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",16,70.0,32.3572,-86.2171,"(32.3572, -86.2171)",1,0,1,1,0,1,0,3,4
148,Mr. Chen's Authentic Chinese Cooking & Oriental Market,"Asian, Chinese",10,4.0,"11 AM to 9 PM (Mon, Tue, Wed, Thu, Sun), 11 AM to 9:30 PM (Fri-Sat)",24,45.0,32.3819717,-86.2126221,"(32.3819717, -86.2126221)",0,3,0,1,1,2,1,1,0
149,Charles Anthony's Restaurant,"Seafood, Steak",40,3.8,"5 PM to 9:30 PM (Mon-Thu),5 PM to 10 PM (Fri-Sat),Closed (Sun)",19,72.0,32.3659,-86.1379,"(32.3659, -86.1379)",1,0,0,0,0,0,0,2,1
150,Mellow Mushroom,"Pizza, Sandwich, Vegetarian",25,3.8,"11 AM to 10 PM (Mon-Thu, Sun), 11 AM to 11 PM (Fri-Sat)",14,76.0,32.33876,-86.17854,"(32.33876, -86.17854)",1,0,0,0,0,1,2,0,3
151,Scott Street Deli,Sandwich,10,4.2,"9 AM to 3 PM (Mon-Fri),Closed (Sat-Sun)",19,65.0,32.3733,-86.3032,"(32.3733, -86.3032)",13,3,0,3,1,8,0,2,1
152,Osaka Sushi Bar & Japanese Cuisine,"Japanese, Sushi",25,4.1,"Closed (Mon),11 AM to 3 PM, 4:30 PM to 9 PM (Tue, Wed, Thu, Sun), 11 AM to 3 PM, 4:30 PM to 9:30 PM (Fri-Sat)",22,61.0,32.461798,-86.425073,"(32.461798, -86.425073)",0,0,0,2,0,0,1,0,0
153,Our Place Cafe,"American, Seafood",40,4.0,"Closed (Mon, Sun), 4:30 PM to 8:30 PM (Tue-Sat)",21,67.0,32.5445,-86.194,"(32.5445, -86.194)",0,0,0,0,0,0,0,0,0
154,Leks Taste of Thailand,Thai,25,4.0,"(Sun),Lunch, Dinner (Mon-Sat)",15,66.0,32.3821,-86.2142,"(32.3821, -86.2142)",0,3,0,1,0,2,1,1,0
155,Irish Bred Pub & Restaurant,"Burger, Bar Food, Sandwich",25,3.6,"11 AM to 9 PM (Mon-Thu),11 AM to 10 PM (Fri-Sat),Closed (Sun)",29,55.0,32.37711,-86.307597,"(32.37711, -86.307597)",16,3,0,7,1,6,0,4,1
156,Catfish House,Seafood,25,4.0,"Closed (Mon, Sun), 4:30 PM to 9 PM (Tue-Sat)",21,53.0,32.4563,-86.371,"(32.4563, -86.371)",0,0,0,0,0,0,0,0,0
157,Young Barn Pub & Oyster Bar,"Burger, Bar Food, Seafood",10,3.7,"Breakfast, Lunch, Dinner, Late (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",19,57.0,32.3490095,-86.2236587,"(32.3490095, -86.2236587)",2,0,0,3,0,0,2,1,4
158,Tipico de Mexico,Mexican,10,4.0,,10,63.0,32.333513,-86.180418,"(32.333513, -86.180418)",1,0,0,0,0,0,2,0,2
159,Cafe Louisa,"Coffee and Tea, Desserts",10,4.0,"Breakfast, Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",12,62.0,32.3519,-86.2915,"(32.3519, -86.2915)",4,7,0,5,0,0,0,0,0
160,Ban Thai Sushi,Thai,25,3.8,"11 AM to 2 PM, 4 PM to 9 PM (Tue-Sat), 11 AM to 2 PM, 4 PM to 8 PM (Sun), Mon Closed",23,43.0,32.517557,-86.378031,"(32.517557, -86.378031)",0,0,0,0,1,0,0,0,0
161,Las Casitas Mexican Restaurant,Mexican,10,4.0,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",19,54.0,32.458571,-86.399909,"(32.458571, -86.399909)",1,0,0,1,0,2,4,4,0
162,Plantation House & Gardens,"German, Southern",25,3.5,"Closed (Mon, Tue, Sat), 11 AM to 2 PM, 5 PM to 8 PM (Wed-Fri),11 AM to 2 PM (Sun)",27,44.0,32.479612,-86.36986,"(32.479612, -86.36986)",0,0,0,0,1,0,0,0,0
163,East China,Chinese,25,4.0,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",14,57.0,32.3389,-86.1716,"(32.3389, -86.1716)",1,0,0,0,0,3,1,0,3
164,Ixtapa Mexican Restaurant,Mexican,0,3.7,,15,54.0,32.382,-86.1944,"(32.382, -86.1944)",0,0,0,1,1,0,0,0,0
165,Red Robin Gourmet Burgers,"American, Burger, Sandwich",25,3.6,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",14,44.0,32.360069,-86.168977,"(32.360069, -86.168977)",0,1,0,3,1,1,4,1,0
166,Taziki's Mediterranean Cafe,"Greek, Mediterranean",25,3.7,"11 AM to 9 PM (Mon-Sat), 11 AM to 8 PM (Sun)",15,54.0,32.3590994,-86.1622344,"(32.3590994, -86.1622344)",0,0,0,3,1,1,4,2,1
167,Davis Cafe,American,10,4.1,"7 AM to 3:30 PM (Mon-Fri),Closed (Sat-Sun)",13,43.0,32.3836,-86.3026,"(32.3836, -86.3026)",11,0,0,6,1,5,0,2,1
168,Taste of India,"Asian, Indian, Vegetarian",25,3.9,"Closed (Mon),11 AM to 3 PM, 5 PM to 10 PM (Tue-Sun)",19,48.0,32.3591729,-86.1446947,"(32.3591729, -86.1446947)",0,0,0,0,0,0,1,1,0
169,Martha's Place,"American, Southern",30,4.0,"11 AM to 8 PM (Mon-Sat),10:30 AM to 3 PM (Sun)",21,42.0,32.3807142,-86.159967,"(32.3807142, -86.159967)",0,0,0,0,0,0,0,0,0
170,Sams Bar B Que,BBQ,0,3.9,"(Sun),Lunch (Mon-Thu),Lunch, Dinner (Fri-Sat)",14,50.0,32.3853,-86.2561,"(32.3853, -86.2561)",0,0,0,1,0,0,0,1,0
171,LongHorn Steakhouse,"American, Steak",25,3.9,"11 AM to 10 PM (Mon-Thu, Sun), 11 AM to 11 PM (Fri-Sat)",14,49.0,32.45982,-86.41099,"(32.45982, -86.41099)",0,0,0,1,0,1,3,3,0
172,Fat Boys Bar B Que Ranch,BBQ,10,3.9,"(Sun),Lunch (Mon-Wed),Lunch, Dinner (Thu-Sat)",11,52.0,32.4579,-86.4707,"(32.4579, -86.4707)",0,0,0,0,4,0,0,0,0
173,Mellow Mushroom,"Pizza, Sandwich, Vegetarian",25,3.8,"11 AM to 10 PM (Mon, Tue, Wed, Sun), 11 AM to 11 PM (Thu, Sat), 11 AM to 12 Midnight (Fri)",8,53.0,32.45956,-86.4138,"(32.45956, -86.4138)",0,0,0,2,1,0,3,1,0
174,La Coronilla,"Mexican, Spanish",10,3.9,"9 AM to 9 PM (Mon, Wed, Thu, Fri, Sat, Sun), Closed (Tue)",22,36.0,32.4047628,-86.2147919,"(32.4047628, -86.2147919)",0,0,0,0,0,0,1,0,0
175,Doughnut Heaven,Breakfast,10,4.1,,12,48.0,32.4606,-86.4523,"(32.4606, -86.4523)",0,0,0,0,0,0,0,0,0
176,Olive Garden Italian Restaurant,Italian,25,3.6,"11 AM to 10 PM (Mon-Thu, Sun), 11 AM to 11 PM (Fri-Sat)",12,53.0,32.34672,-86.22256,"(32.34672, -86.22256)",2,0,1,3,0,0,2,1,4
177,Noodles Cafe,Asian,10,3.9,,11,41.0,32.3387659,-86.1724832,"(32.3387659, -86.1724832)",1,0,0,0,0,3,2,0,3
178,Zoes Kitchen,Mediterranean,10,3.9,11 AM to 9:30 PM,11,39.0,32.3564198662,-86.2653211458,"(32.3564198662, -86.2653211458)",0,0,0,1,1,1,2,0,0
179,Zoes Kitchen,Mediterranean,10,3.8,10 AM to 9:30 PM,11,48.0,32.3593808,-86.1657429,"(32.3593808, -86.1657429)",0,0,0,3,1,1,4,2,1
180,Chin Chin Chinese Restaurant,"Chinese, Japanese, Thai",25,3.8,"11 AM to 10 PM (Mon-Thu, Sun), 11 AM to 10:30 PM (Fri-Sat)",17,41.0,32.332552,-86.1800109,"(32.332552, -86.1800109)",1,0,0,0,0,0,2,0,2
181,Chappy's Deli,"Deli, Burger, Sandwich",10,3.9,"6 AM to 9 PM (Mon-Sat),Closed (Sun)",10,49.0,32.3389,-86.1721,"(32.3389, -86.1721)",1,0,0,0,0,3,1,0,3
182,No Way Jose,Mexican,10,3.8,,11,44.0,32.359147,-86.146228,"(32.359147, -86.146228)",0,0,0,0,0,0,1,1,0
183,Joe Mama's American Grill,"American, Burger",10,3.9,,12,42.0,32.476461,-86.456564,"(32.476461, -86.456564)",0,0,0,0,0,0,0,0,0
184,Eastside Grille LLC,American,25,3.7,"10:30 AM to 9 PM (Mon-Thu),10:30 AM to 10:30 PM (Fri-Sat),10 AM to 2 PM (Sun)",14,40.0,32.3826,-86.1818,"(32.3826, -86.1818)",0,0,0,0,0,0,1,0,0
185,Top China,Chinese,0,4.0,"10:30 AM to 10:30 PM (Mon-Sat),11 AM to 10 PM (Sun)",12,38.0,32.3622,-86.1381,"(32.3622, -86.1381)",1,0,0,0,0,0,0,2,0
186,Ixtapa Bar & Grill,"Mexican, Bar Food",30,3.6,,13,41.0,32.360484,-86.166396,"(32.360484, -86.166396)",0,0,0,3,1,1,4,2,0
187,Panera Bread,Sandwich,10,3.9,"6 AM to 9:30 PM (Mon-Sat), 6:30 AM to 9 PM (Sun)",6,49.0,32.3593384,-86.166083,"(32.3593384, -86.166083)",0,0,0,3,1,1,4,2,1
188,Momma Goldberg's Deli,"American, Sandwich, Vegetarian",10,3.9,,9,45.0,32.338573,-86.176847,"(32.338573, -86.176847)",1,0,0,0,0,1,2,0,3
189,El Patron Restaurant,Mexican,10,3.8,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",14,31.0,32.4600872,-86.4145141,"(32.4600872, -86.4145141)",0,0,0,2,1,0,3,1,0
190,Cucos Mexican Cafe,"Mexican, Tex-Mex",10,3.6,"11 AM to 9:30 PM (Mon-Thu),11 AM to 10:30 PM (Fri-Sat),11 AM to 9 PM (Sun)",9,42.0,32.35412,-86.125364,"(32.35412, -86.125364)",1,0,0,0,0,0,0,0,0
191,Gail's Down The Street Cafe,"American, Southern",10,3.3,"Lunch (Sun, Mon, Tue, Wed, Thu, Fri),  (Sat)",15,36.0,32.36314,-86.266244,"(32.36314, -86.266244)",0,0,0,1,0,1,1,0,0
192,Shrimp Basket,Seafood,40,2.9,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",18,30.0,32.338249,-86.1784629,"(32.338249, -86.1784629)",1,0,0,0,0,1,2,0,3
193,Farmers Market Cafe,Southern,10,3.8,"(Sun, Sat), Breakfast, Lunch (Mon-Fri)",11,37.0,32.38119,-86.30525,"(32.38119, -86.30525)",16,3,0,7,1,7,0,4,1
194,San Marcos,Mexican,10,3.8,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",10,38.0,32.38566,-86.19926,"(32.38566, -86.19926)",0,0,0,1,1,1,1,0,0
195,Liger's Bakery,Sandwich,10,3.7,,14,35.0,32.33763,-86.25951,"(32.33763, -86.25951)",0,0,0,0,0,0,0,0,0
196,Marco's Pizza,Pizza,10,3.9,,9,39.0,32.481548,-86.420071,"(32.481548, -86.420071)",0,0,0,0,0,0,0,0,0
197,Ala Thai East,"Thai, Vegetarian",10,3.7,"11 AM to 9 PM (Mon, Tue, Wed, Thu, Sun), 11 AM to 9:30 PM (Fri-Sat)",10,37.0,32.3807,-86.16831,"(32.3807, -86.16831)",0,0,0,0,0,0,1,0,0
198,Los Cabos Bar and Grill,"Mexican, Seafood, Tex-Mex",25,3.7,"Lunch, Dinner (Sun),Lunch, Dinner, Late (Mon-Sat)",14,31.0,32.355513,-86.217347,"(32.355513, -86.217347)",1,0,1,2,0,1,0,3,4
199,Steak 'n Shake,Fast Food,10,3.6,"7 AM to 11 PM (Mon, Tue, Wed, Thu, Sun), 7 AM to 12 Midnight (Fri-Sat)",10,35.0,32.4606502577,-86.4000832289,"(32.4606502577, -86.4000832289)",1,0,0,1,0,2,4,4,0
200,Bottega Restaurant and Cafe,"Italian, Cafe, Pizza, Mediterranean",40,4.9,"11 AM to 10 PM (Tue-Sat), Mon & Sun Closed",98,814.0,33.502341,-86.789783,"(33.502341, -86.789783)",2,1,0,7,3,2,1,2,4
201,GianMarco's,"Italian, Mediterranean, Southern",40,4.9,"5 PM to 10 PM (Mon, Tue, Sat), 11 AM to 2 PM, 5 PM to 10 PM (Wed-Fri),Closed (Sun)",161,826.0,33.463387,-86.812239,"(33.463387, -86.812239)",0,0,0,0,1,0,2,0,1
202,Surin West,"Asian, Sushi, Thai",25,4.6,"11 AM to 9:30 PM (Mon-Thu), 11 AM to 10:30 PM (Fri), 11:30 AM to 10:30 PM (Sat), 11:30 AM to 9:30 PM (Sun)",137,840.0,33.50076,-86.79554,"(33.50076, -86.79554)",3,7,0,7,3,2,1,2,5
203,SAW's BBQ,"BBQ, Sandwich",25,4.7,"11 AM to 8 PM (Mon-Sat), Sun Closed",175,740.0,33.4738,-86.80829,"(33.4738, -86.80829)",0,0,0,1,0,0,0,0,1
204,"Joe's Italian Pizza, Pasta & Caffe","Desserts, Italian, Pizza",25,4.7,10:30 AM to 9 PM (Mon-Sun),314,739.0,33.259583,-86.796361,"(33.259583, -86.796361)",0,0,0,0,0,0,0,0,0
205,Highlands Bar & Grill,"European, Seafood, Southern",70,4.6,"Closed (Mon, Sun), 4 PM to 10 PM (Tue-Fri),5 PM to 10 PM (Sat)",75,711.0,33.50054,-86.795959,"(33.50054, -86.795959)",3,9,0,7,3,2,1,2,5
206,Chez Fon Fon,"Desserts, French, Healthy Food",40,4.8,"Closed (Mon, Sun), 11 AM to 10 PM (Tue-Thu),11 AM to 10:30 PM (Fri),5 PM to 10:30 PM (Sat)",105,673.0,33.500539,-86.795982,"(33.500539, -86.795982)",3,10,0,7,3,2,1,2,5
