,restaurant.name,restaurant.cuisines,restaurant.average_cost_for_two,restaurant.user_rating.aggregate_rating,restaurant.timings,restaurant.all_reviews_count,restaurant.user_rating.votes,restaurant.location.latitude,restaurant.location.longitude,coordinate,Arts_Entertainment,College_University,Event,Nightlife_Spot,Outdoors_Recreation,Professional_n_Other_Places,Shop_Service,Travel_Transport,Residence
207,Rojo,"American, Latin American",25,4.5,"Closed (Mon),11 AM to 12 Midnight (Tue-Sun)",111,677.0,33.50647,-86.78098,"(33.50647, -86.78098)",2,0,0,3,3,0,2,0,2
208,The Fish Market,"Mediterranean, Seafood, Southern",25,4.4,"10 AM to 9 PM (Mon-Thu),10 AM to 10 PM (Fri-Sat),11 AM to 5 PM (Sun)",113,610.0,33.508044,-86.797841,"(33.508044, -86.797841)",4,5,0,12,3,3,2,5,3
209,Mugshots Grill and Bar,"Burger, Sandwich, Healthy Food",10,4.4,"11 AM to 10 PM (Mon-Thu),11 AM to 11 PM (Fri-Sat),10:30 AM to 9 PM (Sun)",113,435.0,33.44926,-86.78984,"(33.44926, -86.78984)",1,0,0,0,0,0,1,0,0
210,SAW’s Soul Kitchen,"BBQ, Seafood, Southern",30,4.6,"11 AM to 8 PM (Mon-Sat), 11 AM to 4 PM (Sun)",129,572.0,33.52453,-86.77433,"(33.52453, -86.77433)",2,0,0,2,1,0,0,0,0
211,El Barrio,Mexican,40,4.7,"Closed (Mon, Sun), 11 AM to 3 PM, 5 PM to 10 PM (Tue-Fri),10:30 AM to 2 PM, 5 PM to 10 PM (Sat)",151,595.0,33.5168987,-86.8030771,"(33.5168987, -86.8030771)",12,1,0,13,6,5,1,8,3
212,Slice Stone Pizza & Brew,"Italian, Pizza, Healthy Food",25,4.5,"11 AM to 10 PM (Mon-Wed),11 AM to 12 Midnight (Thu-Sat),12 Noon to 10 PM (Sun)",132,597.0,33.511418,-86.786932,"(33.511418, -86.786932)",5,0,0,6,2,1,5,0,2
213,Hot and Hot Fish Club,"International, Seafood, Southern",70,4.4,"Closed (Mon, Sun), 5:30 PM to 10:30 PM (Tue-Sat)",109,589.0,33.501388,-86.791006,"(33.501388, -86.791006)",2,1,0,6,2,2,1,2,4
214,Bright Star,"Greek, Seafood, Southern",40,4.5,"11 AM to 9 PM (Mon, Tue, Wed, Thu, Sun), 11 AM to 10 PM (Fri-Sat)",223,570.0,33.402567,-86.953775,"(33.402567, -86.953775)",0,0,0,0,0,1,0,0,0
215,Little Donkey,"Mexican, Vegetarian",25,3.6,"11 AM to 9:30 PM (Mon, Tue, Wed, Thu, Sun), 11 AM to 10:30 PM (Fri-Sat)",252,584.0,33.4796575,-86.7951452,"(33.4796575, -86.7951452)",0,0,0,0,2,1,3,1,4
216,Chuy's,"Mexican, Tex-Mex",25,4.2,"11 AM to 10 PM (Mon-Thu, Sun), 11 AM to 11 PM (Fri-Sat)",168,583.0,33.44776,-86.73306,"(33.44776, -86.73306)",0,0,1,0,0,0,4,0,0
217,BRIO Tuscan Grille,Italian,35,4.4,"11 AM to 10 PM (Mon, Tue, Wed, Thu, Sun), 11 AM to 11 PM (Fri-Sat)",84,536.0,33.469522,-86.772817,"(33.469522, -86.772817)",0,0,0,0,1,0,4,0,0
218,Mr. Chen's Authentic Chinese Cooking,"Chinese, Dim Sum",10,4.5,11 AM to 9 PM (Mon-Sun),130,487.0,33.402091,-86.807179,"(33.402091, -86.807179)",0,0,0,0,0,1,0,0,0
219,Cocina Superior,"Mexican, Southwestern, Tex-Mex",40,4.3,"11 AM to 10 PM (Mon-Thu),11 AM to 11 PM (Fri),9:30 AM to 11 PM (Sat),9:30 AM to 10 PM (Sun)",105,547.0,33.469438,-86.772955,"(33.469438, -86.772955)",0,0,0,0,1,0,4,0,0
220,The Cheesecake Factory,"Desserts, International",40,4.2,"11 AM to 11 PM (Mon-Thu),11 AM to 12 Midnight (Fri),11 AM to 12:30 AM (Sat),10 AM to 11 PM, 12 Midnight to 12:30 AM (Sun)",71,451.0,33.447868,-86.73109,"(33.447868, -86.73109)",0,0,1,0,0,0,4,1,0
221,P.F. Chang's,"Chinese, Japanese, Vegetarian",25,4.2,"11 AM to 10 PM (Mon-Thu, Sun), 11 AM to 11 PM (Fri-Sat)",78,541.0,33.4465919177,-86.7312562466,"(33.4465919177, -86.7312562466)",0,0,1,0,0,0,4,1,0
222,Saigon Noodle House,"Seafood, Vietnamese",10,4.6,11 AM to 9 PM (Mon-Sun),112,466.0,33.426994,-86.712513,"(33.426994, -86.712513)",0,0,0,0,0,2,0,0,0
223,Nabeel's Cafe & Market,"Greek, Italian, Mediterranean",25,4.4,"11 AM to 8 PM (Mon-Wed),11 AM to 9:30 PM (Thu-Sat),Closed (Sun)",86,490.0,33.475491,-86.796656,"(33.475491, -86.796656)",0,0,0,0,2,1,2,1,2
224,Iguana Grill,Mexican,25,4.5,"11 AM to 10 PM (Mon, Tue, Wed, Thu, Sun), 11 AM to 11 PM (Fri-Sat)",97,478.0,33.38186,-86.796094,"(33.38186, -86.796094)",1,0,0,0,0,0,0,0,0
225,Bettola,"Italian, Pizza",40,4.4,"11 AM to 2 PM, 5:30 PM to 9 PM (Mon-Thu), 11 AM to 2 PM, 5:30 PM to 10 PM (Fri), 5:30 PM to 10 PM (Sat), Sun Closed",100,404.0,33.51669,-86.79087,"(33.51669, -86.79087)",4,0,1,8,1,1,4,1,1
226,Firebirds Wood Fired Grill,"Seafood, Steak, Bar Food",40,4.3,"11 AM to 10 PM (Mon, Tue, Wed, Thu, Sun), 11 AM to 11 PM (Fri-Sat)",90,455.0,33.3746498348,-86.816131718,"(33.3746498348, -86.816131718)",1,0,0,0,0,1,0,1,0
227,Al's Deli & Grill,"Fast Food, Mediterranean, Sandwich",10,4.5,24 Hours (Mon-Sun),69,479.0,33.499405,-86.802302,"(33.499405, -86.802302)",1,23,0,5,2,1,1,3,3
228,Urban Cookhouse,American,10,4.5,"10 AM to 9 PM (Mon-Sat), 10 AM to 8 PM (Sun)",90,458.0,33.479548,-86.791806,"(33.479548, -86.791806)",0,0,0,0,2,1,3,1,3
229,Niki's West,"Southern, Steak",25,4.4,"6 AM to 9:30 PM (Mon-Sat),Closed (Sun)",82,445.0,33.535862,-86.840066,"(33.535862, -86.840066)",0,0,0,0,0,0,0,0,0
230,Ocean,"American, Seafood, Sushi",70,4.4,"Closed (Mon, Sun), 5:30 PM to 10:30 PM (Tue-Sat)",66,431.0,33.499282,-86.795852,"(33.499282, -86.795852)",2,7,0,6,4,1,1,2,4
231,Trattoria Centrale,"Italian, Pizza",25,4.6,"7 AM to 10 AM, 11 AM to 3 PM (Mon-Fri),Closed (Sat),11 AM to 2 PM (Sun)",87,411.0,33.5154786,-86.8062851,"(33.5154786, -86.8062851)",10,1,0,12,6,6,1,8,4
232,J. Alexander's - Redlands Grill,"American, Seafood, Steak",70,4.3,"11 AM to 10 PM (Mon-Thu, Sun), 11 AM to 11 PM (Fri-Sat)",84,432.0,33.37652,-86.81013,"(33.37652, -86.81013)",2,0,1,0,0,1,0,1,0
233,Davenport's Pizza Palace,Pizza,30,4.3,"11 AM to 10 PM (Mon-Thu),11 AM to 11 PM (Fri-Sat),4:30 PM to 10 PM (Sun)",86,444.0,33.482381,-86.772931,"(33.482381, -86.772931)",0,0,0,1,2,0,0,0,0
234,Baha Burger,"Burger, Caribbean, Healthy Food",10,4.4,"11 AM to 10 PM (Mon-Sat),11 AM to 9 PM (Sun)",105,334.0,33.401004,-86.806602,"(33.401004, -86.806602)",0,0,0,0,0,1,0,0,0
235,Urban Standard,"Breakfast, Coffee and Tea, Sandwich",10,4.3,"7 AM to 8 PM (Mon-Fri),8 AM to 8 PM (Sat),Closed (Sun)",83,382.0,33.5174854,-86.8018876,"(33.5174854, -86.8018876)",11,1,1,12,4,5,2,7,3
236,Original Pancake House,Breakfast,25,4.4,7 AM to 2 PM (Mon-Sun),52,380.0,33.500052,-86.797143,"(33.500052, -86.797143)",2,15,0,6,3,1,1,2,4
237,Another Broken Egg Cafe,"Breakfast, Healthy Food",25,4.2,"6:30 AM to 2 PM (Mon-Fri),7 AM to 2 PM (Sat-Sun)",78,371.0,33.484084,-86.773366,"(33.484084, -86.773366)",0,0,0,1,1,0,0,0,0
238,Dreamland BBQ Birmingham,BBQ,10,4.1,"10 AM to 10 PM (Mon-Thu), 10 AM to 11 PM (Fri-Sat), 11 AM to 9 PM (Sun)",72,382.0,33.49417,-86.80298,"(33.49417, -86.80298)",1,22,0,5,2,0,0,0,2
239,La Paz Restaurant & Catering,"Mexican, Tex-Mex",25,4.2,"11 AM to 9 PM (Mon, Tue, Sun), 11 AM to 10 PM (Wed-Thu),11 AM to 11 PM (Fri-Sat)",60,382.0,33.503195,-86.757086,"(33.503195, -86.757086)",0,0,0,0,0,0,0,0,0
240,Jinsei Sushi,"Diner, Japanese, Sushi",40,4.3,5 PM to 10 PM (Mon-Sun),69,357.0,33.479771,-86.791015,"(33.479771, -86.791015)",0,0,0,0,3,1,3,1,4
241,Cafe Dupont,"French, Southern",70,4.4,"Closed (Mon, Sun), 11 AM to 2 PM, 5 PM to 10 PM (Tue-Thu),11 AM to 2 PM, 5 PM to 10:30 PM (Fri),5:30 PM to 10:30 PM (Sat)",75,338.0,33.514732,-86.80561,"(33.514732, -86.80561)",13,2,0,12,6,6,1,8,4
242,Post Office Pies,"American, Pizza",25,4.3,"11 AM to 9 PM (Mon-Wed, Sun), 11 AM to 10 PM (Thu), 11 AM to 12 Midnight (Fri-Sat)",116,336.0,33.524458,-86.7738509,"(33.524458, -86.7738509)",2,0,0,2,1,0,0,0,0
243,Jim 'n Nick's,"American, BBQ",25,4.2,"11 AM to 9 PM (Mon, Tue, Wed, Thu, Sun), 11 AM to 10 PM (Fri-Sat)",66,361.0,33.374771,-86.802437,"(33.374771, -86.802437)",1,0,1,0,0,1,0,1,0
244,Taziki's Mediterranean Cafe,"American, Greek, Mediterranean",10,4.4,"11 AM to 9 PM (Mon-Sat), 11 AM to 8 PM (Sun)",35,383.0,33.4804739,-86.7732619,"(33.4804739, -86.7732619)",0,0,0,1,1,0,0,0,0
245,Cajun Steamer Bar & Grill,"Seafood, Southern, Cajun",25,3.9,"11 AM to 10 PM (Mon-Thu),11 AM to 11 PM (Fri-Sat),11 AM to 9 PM (Sun)",74,288.0,33.374327,-86.814908,"(33.374327, -86.814908)",1,0,1,0,0,1,0,1,0
246,Silvercoin Indian Grill,Indian,25,4.3,"Closed (Mon),11 AM to 2 PM, 4:30 PM to 9:30 PM (Tue-Thu),11 AM to 2 PM, 4:30 PM to 10 PM (Fri),11 AM to 10 PM (Sat),11 AM to 9:30 PM (Sun)",79,339.0,33.3938481,-86.798356,"(33.3938481, -86.798356)",0,0,0,0,0,0,0,0,0
247,Steel City Pops,Desserts,10,4.5,"12 Noon to 9 PM (Mon, Tue, Wed, Thu, Sun), 12 Noon to 10 PM (Fri-Sat)",71,357.0,33.4797317,-86.7951068,"(33.4797317, -86.7951068)",0,0,0,0,2,1,3,1,4
248,Chez Lulu,"Italian, Pizza, Sandwich",25,4.3,"Closed (Mon),11 AM to 3 PM, 5:30 PM to 9:30 PM (Tue-Thu),11 AM to 10:30 PM (Fri-Sat),10 AM to 9:30 PM (Sun)",55,335.0,33.495562,-86.781581,"(33.495562, -86.781581)",0,0,0,0,3,0,0,0,0
249,Pho Que Huong Vietnamese,"Asian, Vietnamese",30,4.4,"11 AM to 3 PM, 5 PM to 9 PM (Mon, Tue, Wed, Thu, Sun), 11 AM to 3 PM, 5 PM to 9:30 PM (Fri-Sat)",63,316.0,33.464011,-86.820528,"(33.464011, -86.820528)",0,0,0,0,1,0,2,1,1
250,FIVE - Birmingham,"American, Breakfast",40,4.2,"4 PM to 10 PM (Mon-Wed),4 PM to 12 Midnight (Thu),11 AM to 12 Midnight (Fri-Sat),10 AM to 10 PM (Sun)",81,293.0,33.51044,-86.786649,"(33.51044, -86.786649)",4,0,0,6,2,1,5,0,2
251,SAW’s Juke Joint,"BBQ, Seafood, Southern",10,4.3,"11 AM to 9 PM (Mon-Sat),Closed (Sun)",75,298.0,33.51502,-86.73681,"(33.51502, -86.73681)",0,0,0,0,0,0,2,0,1
252,Stix,"Chinese, Japanese, Sushi",40,4.0,"11 AM to 2 PM, 4:30 PM to 10 PM (Mon-Thu),11 AM to 2 PM, 4:30 PM to 11 PM (Fri),11:30 AM to 11 PM (Sat),11:30 AM to 9:30 PM (Sun)",69,293.0,33.375839,-86.809014,"(33.375839, -86.809014)",2,0,1,0,0,1,0,1,0
253,Over Easy,"Breakfast, Sandwich, Healthy Food",10,4.0,"Closed (Mon),6 AM to 2 PM (Tue-Fri),7 AM to 2 PM, 12 Midnight to 2:30 AM (Sat),7 AM to 2 PM (Sun)",125,288.0,33.482641,-86.777795,"(33.482641, -86.777795)",0,0,0,1,2,0,1,0,0
254,Superior Grill,Mexican,25,4.0,"11 AM to 10 PM (Mon-Wed),11 AM to 11 PM (Thu-Sun)",69,287.0,33.423061,-86.700188,"(33.423061, -86.700188)",0,0,0,0,0,1,0,1,0
255,Super Oriental Market and Red Pearl Restaurant,Asian,10,4.3,"Closed (Mon),10 AM to 9:30 PM (Tue-Sun)",57,205.0,33.466934,-86.834409,"(33.466934, -86.834409)",0,0,0,0,0,0,1,1,1
256,Chuck's Fish,"Seafood, Steak, Sushi",70,4.1,"5 PM to 10 PM (Mon-Thu), 5 PM to 11 PM (Fri-Sat), 10 AM to 10 PM (Sun)",81,224.0,33.4152604,-86.6672041,"(33.4152604, -86.6672041)",0,0,1,0,0,1,0,0,0
257,Dreamcakes Bakery,Vegetarian,10,4.1,"10 AM to 6 PM (Mon-Fri),11 AM to 5 PM (Sat),Closed (Sun)",113,273.0,33.473763,-86.808821,"(33.473763, -86.808821)",0,0,0,1,0,0,0,0,1
258,Olive Branch,"American, Greek, Mediterranean",25,4.3,"11 AM to 2:30 PM, 5 PM to 9 PM (Mon-Sat), Sun Closed",65,265.0,33.45419,-86.72978,"(33.45419, -86.72978)",0,0,1,0,0,0,4,0,0
259,Taj India,"Indian, Vegetarian",25,4.1,"11 AM to 2 PM, 5 PM to 10 PM (Mon-Fri),11:30 AM to 2:30 PM, 5 PM to 10 PM (Sat),11:30 AM to 2:30 PM, 5 PM to 9 PM (Sun)",68,272.0,33.501389,-86.790231,"(33.501389, -86.790231)",2,1,0,6,2,1,1,2,4
260,Miss Myra's Pit Bar B Q,"BBQ, Desserts",25,4.3,"8 AM to 8 PM (Mon-Thu),8 AM to 9 PM (Fri-Sat),Closed (Sun)",72,268.0,33.454178,-86.726209,"(33.454178, -86.726209)",0,0,1,0,0,0,4,0,0
261,Surin 280,"Asian, Sushi, Thai",25,4.0,"11 AM to 2 PM, 4:45 PM to 9 PM (Mon-Thu),11 AM to 2 PM, 4:45 PM to 10 PM (Fri-Sat),11 AM to 2:30 PM, 4:45 PM to 9 PM (Sun)",68,253.0,33.435585,-86.723424,"(33.435585, -86.723424)",0,0,0,0,0,1,0,4,1
262,Dyron's Lowcountry,"American, Seafood, Southern",40,4.2,"Closed (Mon),5:30 PM to 9:30 PM (Tue-Sat),11 AM to 2 PM (Sun)",61,244.0,33.501149,-86.754899,"(33.501149, -86.754899)",0,0,0,0,0,0,0,0,0
263,Makarios Kabobs & Grill,"American, Mediterranean, Middle Eastern",10,4.3,"10 AM to 11 PM (Mon-Thu),10 AM to 12 Midnight (Fri),10 AM to 1 AM (Sat),10 AM to 11 PM, 12 Midnight to 1 AM (Sun)",64,255.0,33.502503,-86.797761,"(33.502503, -86.797761)",5,14,0,7,2,2,2,4,4
264,Klingler's European Bakery,"Breakfast, German",25,4.0,"7 AM to 4 PM (Mon-Fri),8 AM to 4 PM (Sat),8 AM to 3 PM (Sun)",37,161.0,33.448568,-86.78949,"(33.448568, -86.78949)",1,0,0,0,0,0,1,0,0
265,Brick & Tin,"Sandwich, Healthy Food",10,4.3,"10:30 AM to 3 PM (Mon-Thu),10:30 AM to 3 PM, 5 PM to 9 PM (Fri),Closed (Sat-Sun)",48,236.0,33.515807,-86.806918,"(33.515807, -86.806918)",10,1,0,12,6,6,1,8,4
266,Chen Express,Chinese,25,4.3,"11 AM to 9:30 PM (Mon, Tue, Wed, Thu, Sun), 11 AM to 10 PM (Fri-Sat)",36,195.0,33.5031984,-86.7572495,"(33.5031984, -86.7572495)",0,0,0,0,0,0,0,0,0
267,Mudtown,"American, Breakfast, Cajun",25,4.1,"11 AM to 9:30 PM (Mon-Thu),11 AM to 10:30 PM (Fri-Sat),11 AM to 8:30 PM (Sun)",62,233.0,33.460413,-86.732969,"(33.460413, -86.732969)",0,0,1,0,0,0,1,0,1
268,Bonefish Grill,Seafood,40,4.2,"4 PM to 10 PM (Mon-Thu), 11 AM to 11 PM (Fri-Sat), 10 AM to 9 PM (Sun)",53,236.0,33.37847,-86.81111,"(33.37847, -86.81111)",1,0,1,0,0,1,0,1,0
269,Todd English P.U.B.,"American, Bar Food",40,3.6,"6:30 AM to 10 PM (Mon, Tue, Wed, Thu, Sun), 6:30 AM to 12 Midnight (Fri-Sat)",112,222.0,33.522703,-86.809383,"(33.522703, -86.809383)",14,1,1,8,4,7,0,6,2
270,Crazy Cajuns' Boiling Pot,"American, Seafood, Cajun",25,4.2,"11 AM to 9 PM (Mon-Thu),11 AM to 10 PM (Fri-Sat),Closed (Sun)",82,233.0,33.420057,-86.696421,"(33.420057, -86.696421)",0,0,0,0,0,0,0,1,0
271,Jubilee Joe's Cajun Seafood Restaurant,"Seafood, Cajun",25,3.9,"Closed (Mon),11 AM to 9 PM (Tue-Thu),11 AM to 10 PM (Fri-Sat),11 AM to 8 PM (Sun)",78,196.0,33.351555,-86.864997,"(33.351555, -86.864997)",0,0,0,0,0,0,0,0,0
272,Big Bad Breakfast,"American, Coffee and Tea, Diner",10,3.9,7 AM to 2:30 PM (Mon-Sun),86,212.0,33.4189679,-86.671473,"(33.4189679, -86.671473)",0,0,0,0,0,0,0,0,0
273,Giuseppe's Cafe,"Italian, Pizza, Sandwich, Cafe",25,4.3,"11 AM to 9:30 PM (Mon),11 AM to 10 PM (Tue-Sat),Closed (Sun)",49,240.0,33.495194,-86.814348,"(33.495194, -86.814348)",1,17,0,0,0,0,0,0,1
274,Sitar Indian Restaurant,"Asian, Indian",25,4.2,"11 AM to 2:30 PM, 5 PM to 9:30 PM (Mon-Sun)",60,232.0,33.505745,-86.799586,"(33.505745, -86.799586)",4,13,0,8,4,3,2,5,3
275,Yogurt Mountain,Desserts,10,4.1,"11:30 AM to 11 PM (Mon, Tue, Wed, Thu, Sun), 11:30 AM to 12 Midnight (Fri-Sat)",44,246.0,33.461276,-86.753785,"(33.461276, -86.753785)",0,0,0,0,0,0,1,0,0
276,Baumhower's Restaurant,"Burger, Bar Food, Sandwich",25,3.9,"11 AM to 10 PM (Mon, Tue, Wed, Thu, Sun), 11 AM to 11 PM (Fri-Sat)",101,219.0,33.373709,-86.815875,"(33.373709, -86.815875)",1,0,0,0,0,1,0,0,0
277,Village Tavern,"Bar Food, Seafood, Steak",40,4.1,"11 AM to 10 PM (Mon-Thu), 11 AM to 11 PM (Fri-Sat), 10 AM to 10 PM (Sun)",41,231.0,33.44938,-86.73229,"(33.44938, -86.73229)",0,0,1,0,0,0,4,0,0
278,Mellow Mushroom,"Pizza, Sandwich, Healthy Food",25,4.2,"11 AM to 10 PM (Mon-Thu, Sun), 11 AM to 11 PM (Fri-Sat)",41,239.0,33.49952,-86.79581,"(33.49952, -86.79581)",2,8,0,6,4,1,1,2,4
279,Taste of Thailand,Thai,25,4.2,"11 AM to 1:30 PM, 4:30 PM to 8:30 PM (Tue-Fri), 11 AM to 2:30 PM, 4:30 PM to 8:30 PM (Sat), 11 AM to 8 PM (Sun), Mon Closed",58,216.0,33.393833,-86.798166,"(33.393833, -86.798166)",0,0,0,0,0,0,0,0,0
280,Ginza,"Japanese, Korean, Sushi",40,4.1,"11 AM to 2 PM, 5 PM to 10 PM (Tue-Fri), 11 AM to 2 PM, 4 PM to 10 PM (Sat), 4 PM to 9 PM (Sun), Mon Closed",60,215.0,33.414246,-86.699845,"(33.414246, -86.699845)",0,0,0,0,0,0,0,1,0
281,Konomi,"Japanese, Sushi",40,4.3,"11 AM to 2 PM, 4:30 PM to 9:30 PM (Mon-Thu),11 AM to 2 PM, 4:30 PM to 10:30 PM (Fri),4:30 PM to 10:30 PM (Sat),11 AM to 2 PM, 4:30 PM to 9 PM (Sun)",50,211.0,33.64458,-86.63677,"(33.64458, -86.63677)",0,0,0,0,0,0,0,0,0
282,Fleming's Prime Steakhouse & Wine Bar,"American, Seafood, Steak",70,4.2,"4:30 PM to 10 PM (Mon-Thu), 4:30 PM to 11 PM (Fri-Sat), 11 AM to 9 PM (Sun)",43,226.0,33.44938,-86.73229,"(33.44938, -86.73229)",0,0,1,0,0,0,4,0,0
283,Tortugas Pizza,Pizza,25,4.2,"Closed (Mon, Sun), 4 PM to 8:30 PM (Tue-Thu),11 AM to 9 PM (Fri-Sat)",44,228.0,33.365363,-86.823826,"(33.365363, -86.823826)",0,0,0,0,0,0,0,1,1
284,Nori Thai and Sushi Restaurant,"Asian, Sushi, Thai",20,4.2,"11 AM to 9 PM (Tue-Thu, Sun), 11 AM to 10 PM (Fri), 12 Noon to 10 PM (Sat), Mon Closed",88,175.0,33.43318,-86.73795,"(33.43318, -86.73795)",0,0,0,0,1,1,0,0,0
285,Salvatores Pizza & Pasta,"Italian, Pizza, Sandwich",25,4.1,11 AM to 10 PM,52,219.0,33.40156,-86.80614,"(33.40156, -86.80614)",0,0,0,0,0,1,0,0,0
286,Satterfield's,"American, Seafood",70,4.2,"4 PM to 9 PM (Mon-Thu),4 PM to 10 PM (Fri-Sat),Closed (Sun)",42,197.0,33.454323,-86.733631,"(33.454323, -86.733631)",0,0,1,0,0,0,4,0,0
287,De Vinci's Pizza,"Pizza, Italian",25,4.1,"11 AM to 9 PM (Mon, Tue, Wed, Sun), 7 AM to 9 PM (Thu-Sat)",66,205.0,33.482389,-86.791635,"(33.482389, -86.791635)",0,0,0,0,3,1,3,1,4
288,Amore Ristorante Italiano,"Italian, Mediterranean, Seafood",70,4.2,"Closed (Mon, Sun), 5 PM to 9 PM (Tue-Thu),5 PM to 9:30 PM (Fri-Sat)",82,174.0,33.405996,-86.664275,"(33.405996, -86.664275)",0,0,1,0,0,1,0,0,0
289,Bellini's Ristorante & Bar,"Desserts, Italian, Steak",70,3.9,"11 AM to 2 PM, 4 PM to 9 PM (Mon-Wed), 11 AM to 2 PM, 4 PM to 9:30 PM (Thu), 11 AM to 10 PM (Fri-Sat), Sun Closed",60,186.0,33.41214,-86.67578,"(33.41214, -86.67578)",0,0,0,0,0,0,0,0,0
290,Edgar's Bakery,"Breakfast, Sandwich",10,4.0,"6:30 AM to 6 PM (Mon-Sat),Closed (Sun)",60,193.0,33.374327,-86.814908,"(33.374327, -86.814908)",1,0,1,0,0,1,0,1,0
291,Parish Seafood & Oyster House,"Seafood, Southern, Cajun",40,3.6,"11 AM to 10 PM (Mon-Sat),12 Noon to 3 PM (Sun)",93,149.0,33.608552,-86.6282001,"(33.608552, -86.6282001)",0,0,0,0,0,0,0,0,0
292,Costa's Mediterranean Cafe,"Greek, Italian, Mediterranean",25,3.9,"11 AM to 9 PM (Mon-Thu),11 AM to 10 PM (Fri),12 Noon to 10 PM (Sat),Closed (Sun)",54,185.0,33.390984,-86.796867,"(33.390984, -86.796867)",0,0,0,0,0,0,0,0,0
293,Taziki's Mediterranean Cafe,"American, Greek, Mediterranean",25,4.2,"11 AM to 9 PM (Mon-Sat), 11 AM to 8 PM (Sun)",24,209.0,33.437269,-86.7296985,"(33.437269, -86.7296985)",0,0,0,0,1,1,0,3,1
294,Surin of Thailand,"Asian, Sushi, Thai",25,4.1,"11:15 AM to 2 PM, 5 PM to 9 PM (Mon, Tue, Wed, Thu, Sun), 11:15 AM to 2 PM, 5 PM to 9:30 PM (Fri-Sat)",25,212.0,33.50223,-86.75573,"(33.50223, -86.75573)",0,0,0,0,0,0,0,0,0
295,Sumo Japanese Steak House,"Japanese, Steak, Sushi",40,3.9,"11 AM to 2 PM, 4 PM to 10 PM (Mon-Thu),11 AM to 2 PM, 4 PM to 11 PM (Fri),11 AM to 11 PM (Sat),11 AM to 10 PM (Sun)",48,190.0,33.375051,-86.814665,"(33.375051, -86.814665)",1,0,1,0,0,1,0,1,0
296,Maki Fresh,"Asian, Japanese, Sushi",10,4.0,11 AM to 9 PM (Mon-Sun),39,183.0,33.46344,-86.74614,"(33.46344, -86.74614)",0,0,0,0,0,0,1,0,0
297,Nino's Italian Restaurant,"Italian, Pizza, Sandwich",10,3.9,"11 AM to 9 PM (Mon-Wed),11 AM to 11 PM (Thu-Sat),12 Noon to 8 PM (Sun)",105,186.0,33.315206,-86.800347,"(33.315206, -86.800347)",0,0,0,0,0,0,0,0,0
298,Fig Tree Cafe,Cafe,35,4.1,"Closed (Mon),11 AM to 2 PM, 5 PM to 9 PM (Tue-Thu),11 AM to 2 PM, 5 PM to 10 PM (Fri),10 AM to 3 PM, 5 PM to 10 PM (Sat),10 AM to 3 PM (Sun)",97,137.0,33.454987,-86.733677,"(33.454987, -86.733677)",0,0,1,0,0,0,3,0,0
299,Baumhower's Restaurant,"Burger, Bar Food, Sandwich",25,3.9,"11 AM to 10 PM (Mon, Tue, Wed, Thu, Sun), 11 AM to 11 PM (Fri-Sat)",91,181.0,33.410897,-86.671196,"(33.410897, -86.671196)",0,0,1,0,0,1,0,0,0
